pokedex_number,name,japanese_name,type1,type2,classfication,height_m,weight_kg,generation,is_legendary,attack,defense,hp,speed,sp_attack,sp_defense,base_total,capture_rate,experience_growth,percentage_male,base_happiness,base_egg_steps,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
36,Clefable,Pixyピクシー,fairy,NA,Fairy Pokémon,1.3,40,1,0,70,73,95,60,95,90,483,25,800000,24.6,140,2560,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
37,Vulpix,Rokonロコン,fire,ice,Fox Pokémon,NA,NA,1,0,41,40,38,65,50,65,299,190,1000000,24.6,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
38,Ninetales,Kyukonキュウコン,fire,ice,Fox Pokémon,NA,NA,1,0,67,75,73,109,81,100,505,75,1000000,24.6,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
39,Jigglypuff,Purinプリン,normal,fairy,Balloon Pokémon,0.5,5.5,1,0,45,20,115,20,45,25,270,170,800000,24.6,70,2560,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
40,Wigglytuff,Pukurinプクリン,normal,fairy,Balloon Pokémon,1,12,1,0,70,45,140,45,85,50,435,50,800000,24.6,70,2560,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
41,Zubat,Zubatズバット,poison,flying,Bat Pokémon,0.8,7.5,1,0,45,35,40,55,30,40,245,255,1000000,50,70,3840,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
42,Golbat,Golbatゴルバット,poison,flying,Bat Pokémon,1.6,55,1,0,80,70,75,90,65,75,455,90,1000000,50,70,3840,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
43,Oddish,Nazonokusaナゾノクサ,grass,poison,Weed Pokémon,0.5,5.4,1,0,50,55,45,30,75,65,320,255,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
44,Gloom,Kusaihanaクサイハナ,grass,poison,Weed Pokémon,0.8,8.6,1,0,65,70,60,40,85,75,395,120,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
45,Vileplume,Ruffresiaラフレシア,grass,poison,Flower Pokémon,1.2,18.6,1,0,80,85,75,50,110,90,490,45,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
46,Paras,Parasパラス,bug,grass,Mushroom Pokémon,0.3,5.4,1,0,70,55,35,25,45,55,285,190,1000000,50,70,5120,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
47,Parasect,Parasectパラセクト,bug,grass,Mushroom Pokémon,1,29.5,1,0,95,80,60,30,60,80,405,75,1000000,50,70,5120,2,1,1,0.5,1,0.5,4,4,1,0.25,0.25,2,1,2,1,2,1,0.5
48,Venonat,Kongpangコンパン,bug,poison,Insect Pokémon,1,30,1,0,55,50,60,45,40,55,305,190,1000000,50,70,5120,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
49,Venomoth,Morphonモルフォン,bug,poison,Poison Moth Pokémon,1.5,12.5,1,0,65,60,70,90,90,75,450,75,1000000,50,70,5120,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
50,Diglett,Digdaディグダ,ground,ground,Mole Pokémon,NA,NA,1,0,55,30,10,90,35,45,265,255,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
51,Dugtrio,Dugtrioダグトリオ,ground,ground,Mole Pokémon,NA,NA,1,0,100,60,35,110,50,70,425,50,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
52,Meowth,Nyarthニャース,normal,dark,Scratch Cat Pokémon,NA,NA,1,0,35,35,40,90,50,40,290,255,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
53,Persian,Persianペルシアン,normal,dark,Classy Cat Pokémon,NA,NA,1,0,60,60,65,115,75,65,440,90,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
54,Psyduck,Koduckコダック,water,NA,Duck Pokémon,0.8,19.6,1,0,52,48,50,55,65,50,320,190,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
55,Golduck,Golduckゴルダック,water,NA,Duck Pokémon,1.7,76.6,1,0,82,78,80,85,95,80,500,75,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
56,Mankey,Mankeyマンキー,fighting,NA,Pig Monkey Pokémon,0.5,28,1,0,80,35,40,70,35,45,305,190,1000000,50,70,5120,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
57,Primeape,Okorizaruオコリザル,fighting,NA,Pig Monkey Pokémon,1,32,1,0,105,60,65,95,60,70,455,75,1000000,50,70,5120,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
58,Growlithe,Gardieガーディ,fire,NA,Puppy Pokémon,0.7,19,1,0,70,45,55,60,70,50,350,190,1250000,75.4,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
59,Arcanine,Windieウインディ,fire,NA,Legendary Pokémon,1.9,155,1,0,110,80,90,95,100,80,555,75,1250000,75.4,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
60,Poliwag,Nyoromoニョロモ,water,NA,Tadpole Pokémon,0.6,12.4,1,0,50,40,40,90,40,40,300,255,1059860,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
61,Poliwhirl,Nyorozoニョロゾ,water,NA,Tadpole Pokémon,1,20,1,0,65,65,65,90,50,50,385,120,1059860,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
62,Poliwrath,Nyorobonニョロボン,water,fighting,Tadpole Pokémon,1.3,54,1,0,95,95,90,70,70,90,510,45,1059860,50,70,5120,0.5,0.5,1,2,2,1,0.5,2,1,2,1,0.5,1,1,2,0.5,0.5,0.5
63,Abra,Caseyケーシィ,psychic,NA,Psi Pokémon,0.9,19.5,1,0,20,15,25,90,105,55,310,200,1059860,75.4,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
64,Kadabra,Yungererユンゲラー,psychic,NA,Psi Pokémon,1.3,56.5,1,0,35,30,40,105,120,70,400,100,1059860,75.4,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
65,Alakazam,Foodinフーディン,psychic,NA,Psi Pokémon,1.5,48,1,0,50,65,55,150,175,105,600,50,1059860,75.4,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
66,Machop,Wanrikyワンリキー,fighting,NA,Superpower Pokémon,0.8,19.5,1,0,80,50,70,35,35,35,305,180,1059860,75.4,70,5120,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
67,Machoke,Gorikyゴーリキー,fighting,NA,Superpower Pokémon,1.5,70.5,1,0,100,70,80,45,50,60,405,90,1059860,75.4,70,5120,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
68,Machamp,Kairikyカイリキー,fighting,NA,Superpower Pokémon,1.6,130,1,0,130,80,90,55,65,85,505,45,1059860,75.4,70,5120,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
69,Bellsprout,Madatsubomiマダツボミ,grass,poison,Flower Pokémon,0.7,4,1,0,75,35,50,40,70,30,300,255,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
70,Weepinbell,Utsudonウツドン,grass,poison,Flycatcher Pokémon,1,6.4,1,0,90,50,65,55,85,45,390,120,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
71,Victreebel,Utsubotウツボット,grass,poison,Flycatcher Pokémon,1.7,15.5,1,0,105,65,80,70,100,70,490,45,1059860,50,70,5120,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5
72,Tentacool,Menokurageメノクラゲ,water,poison,Jellyfish Pokémon,0.9,45.5,1,0,40,35,40,70,50,100,335,190,1250000,50,70,5120,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
73,Tentacruel,Dokukurageドククラゲ,water,poison,Jellyfish Pokémon,1.6,55,1,0,70,65,80,100,80,120,515,60,1250000,50,70,5120,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
74,Geodude,Isitsubuteイシツブテ,rock,ground,Rock Pokémon,NA,NA,1,0,80,100,40,20,30,30,300,255,1059860,50,70,3840,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
75,Graveler,Goloneゴローン,rock,ground,Rock Pokémon,NA,NA,1,0,95,115,55,35,45,45,390,120,1059860,50,70,3840,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
76,Golem,Golonyaゴローニャ,rock,ground,Megaton Pokémon,NA,NA,1,0,120,130,80,45,55,65,495,45,1059860,50,70,3840,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
77,Ponyta,Ponytaポニータ,fire,NA,Fire Horse Pokémon,1,30,1,0,85,55,50,90,65,65,410,190,1000000,50,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
78,Rapidash,Gallopギャロップ,fire,NA,Fire Horse Pokémon,1.7,95,1,0,100,70,65,105,80,80,500,60,1000000,50,70,5120,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
79,Slowpoke,Yadonヤドン,water,psychic,Dopey Pokémon,1.2,36,1,0,65,65,90,15,40,40,315,190,1000000,50,70,5120,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
80,Slowbro,Yadoranヤドラン,water,psychic,Hermit Crab Pokémon,1.6,78.5,1,0,75,180,95,30,130,80,590,75,1000000,50,70,5120,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
81,Magnemite,Coilコイル,electric,steel,Magnet Pokémon,0.3,6,1,0,35,70,25,45,95,55,325,190,1000000,NA,70,5120,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
82,Magneton,Rarecoilレアコイル,electric,steel,Magnet Pokémon,1,60,1,0,60,95,50,70,120,70,465,60,1000000,NA,70,5120,0.5,1,0.5,0.5,0.5,2,2,0.25,1,0.5,4,0.5,0.5,0,0.5,0.5,0.25,1
83,Farfetch'd,Kamonegiカモネギ,normal,flying,Wild Duck Pokémon,0.8,15,1,0,90,55,52,60,58,62,377,45,1000000,50,70,5120,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
84,Doduo,Dodoドードー,normal,flying,Twin Bird Pokémon,1.4,39.2,1,0,85,45,35,75,35,35,310,190,1000000,50,70,5120,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
85,Dodrio,Dodorioドードリオ,normal,flying,Triple Bird Pokémon,1.8,85.2,1,0,110,70,60,110,60,60,470,45,1000000,50,70,5120,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
86,Seel,Pawouパウワウ,water,NA,Sea Lion Pokémon,1.1,90,1,0,45,55,65,45,45,70,325,190,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
87,Dewgong,Jugonジュゴン,water,ice,Sea Lion Pokémon,1.7,120,1,0,70,80,90,70,70,95,475,75,1000000,50,70,5120,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
88,Grimer,Betbeterベトベター,poison,poison,Sludge Pokémon,NA,NA,1,0,80,50,80,25,40,50,325,190,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
89,Muk,Betbetonベトベトン,poison,poison,Sludge Pokémon,NA,NA,1,0,105,75,105,50,65,100,500,75,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
90,Shellder,Shellderシェルダー,water,NA,Bivalve Pokémon,0.3,4,1,0,65,100,30,40,45,25,305,190,1250000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
91,Cloyster,Parshenパルシェン,water,ice,Bivalve Pokémon,1.5,132.5,1,0,95,180,50,70,85,45,525,60,1250000,50,70,5120,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
92,Gastly,Ghosゴース,ghost,poison,Gas Pokémon,1.3,0.1,1,0,35,30,30,80,100,35,310,190,1059860,50,70,5120,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
93,Haunter,Ghostゴースト,ghost,poison,Gas Pokémon,1.6,0.1,1,0,50,45,45,95,115,55,405,90,1059860,50,70,5120,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
94,Gengar,Gangarゲンガー,ghost,poison,Shadow Pokémon,1.5,40.5,1,0,65,80,60,130,170,95,600,45,1059860,50,70,5120,0.25,2,1,1,0.5,0,1,1,2,0.5,2,1,0,0.25,2,1,1,1
95,Onix,Iwarkイワーク,rock,ground,Rock Snake Pokémon,8.8,210,1,0,45,160,35,70,30,45,385,45,1000000,50,70,6400,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
96,Drowzee,Sleepeスリープ,psychic,NA,Hypnosis Pokémon,1,32.4,1,0,48,45,60,42,43,90,328,190,1000000,50,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
97,Hypno,Sleeperスリーパー,psychic,NA,Hypnosis Pokémon,1.6,75.6,1,0,73,70,85,67,73,115,483,75,1000000,50,70,5120,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
98,Krabby,Crabクラブ,water,NA,River Crab Pokémon,0.4,6.5,1,0,105,90,30,50,25,25,325,225,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
99,Kingler,Kinglerキングラー,water,NA,Pincer Pokémon,1.3,60,1,0,130,115,55,75,50,50,475,60,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
100,Voltorb,Biriridamaビリリダマ,electric,NA,Ball Pokémon,0.5,10.4,1,0,30,50,40,100,55,55,330,190,1000000,NA,70,5120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
101,Electrode,Marumineマルマイン,electric,NA,Ball Pokémon,1.2,66.6,1,0,50,70,60,150,80,80,490,60,1000000,NA,70,5120,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
102,Exeggcute,Tamatamaタマタマ,grass,psychic,Egg Pokémon,0.4,2.5,1,0,40,80,60,40,60,45,325,90,1250000,50,70,5120,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
103,Exeggutor,Nassyナッシー,grass,psychic,Coconut Pokémon,NA,NA,1,0,105,85,95,45,125,75,530,45,1250000,50,70,5120,4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5
104,Cubone,Karakaraカラカラ,ground,NA,Lonely Pokémon,0.4,6.5,1,0,50,95,50,35,40,50,320,190,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
105,Marowak,Garagaraガラガラ,ground,fire,Bone Keeper Pokémon,NA,NA,1,0,80,110,60,45,50,80,425,75,1000000,50,70,5120,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2
106,Hitmonlee,Sawamularサワムラー,fighting,NA,Kicking Pokémon,1.5,49.8,1,0,120,53,50,87,35,110,455,45,1000000,100,70,6400,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
107,Hitmonchan,Ebiwalarエビワラー,fighting,NA,Punching Pokémon,1.4,50.2,1,0,105,79,50,76,35,110,455,45,1000000,100,70,6400,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
108,Lickitung,Beroringaベロリンガ,normal,NA,Licking Pokémon,1.2,65.5,1,0,55,75,90,30,60,75,385,45,1000000,50,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
109,Koffing,Dogarsドガース,poison,NA,Poison Gas Pokémon,0.6,1,1,0,65,95,40,35,60,45,340,190,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
110,Weezing,Matadogasマタドガス,poison,NA,Poison Gas Pokémon,1.2,9.5,1,0,90,120,65,60,85,70,490,60,1000000,50,70,5120,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
111,Rhyhorn,Sihornサイホーン,ground,rock,Spikes Pokémon,1,115,1,0,85,95,80,25,30,30,345,120,1250000,50,70,5120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
112,Rhydon,Sidonサイドン,ground,rock,Drill Pokémon,1.9,120,1,0,130,120,105,40,45,45,485,60,1250000,50,70,5120,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
113,Chansey,Luckyラッキー,normal,NA,Egg Pokémon,1.1,34.6,1,0,5,5,250,50,35,105,450,30,800000,0,140,10240,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
114,Tangela,Monjaraモンジャラ,grass,NA,Vine Pokémon,1,35,1,0,55,115,65,60,100,40,435,45,1000000,50,70,5120,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
115,Kangaskhan,Garuraガルーラ,normal,NA,Parent Pokémon,2.2,80,1,0,125,100,105,100,60,100,590,45,1000000,0,70,5120,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
116,Horsea,Tattuタッツー,water,NA,Dragon Pokémon,0.4,8,1,0,40,70,30,60,70,25,295,225,1000000,50,70,5120,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
